"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff"
"job_satisfied","not satisfied with job","f_love_job_recat",22.8571428571429,35,8,0.426042961498036,7.20144043214405,8.74231961014052,36.9719661041452,"job",66.0048426150121
"job_satisfied","satisfied with job","f_love_job_recat",88.861985472155,413,367,0.314983869664023,1.54993429641672,85.8241142511782,91.8998566931317,"job",66.0048426150121
"job_satisfied","not satisfied with job","s_job_recat",0,35,0,0,0,0,0,"job",100
"job_satisfied","satisfied with job","s_job_recat",100,413,413,0,0,100,100,"job",100
"job_satisfied","not satisfied with job","f_paid_fairly_recat",34.2857142857143,35,12,0.481593991977935,8.14042422743686,18.330482799938,50.2409457714905,"pay & benefits",36.6585956416465
"job_satisfied","satisfied with job","f_paid_fairly_recat",70.9443099273608,413,293,0.454570030259133,2.23679288965915,66.5601958636288,75.3284239910927,"pay & benefits",36.6585956416465
"job_satisfied","not satisfied with job","s_benefits_recat",65.7142857142857,35,23,0.481593991977935,8.14042422743686,49.7590542285095,81.669517200062,"pay & benefits",22.6634382566586
"job_satisfied","satisfied with job","s_benefits_recat",88.3777239709443,413,365,0.320880567512159,1.57895004963665,85.2829818736565,91.4724660682322,"pay & benefits",22.6634382566586
"job_satisfied","not satisfied with job","s_pay_recat",31.4285714285714,35,11,0.471008215953606,7.96149195450555,15.8240471977405,47.0330956594023,"pay & benefits",39.273607748184
"job_satisfied","satisfied with job","s_pay_recat",70.7021791767555,413,292,0.455680534501932,2.24225732380325,66.3073548221011,75.0970035314098,"pay & benefits",39.273607748184
"job_satisfied","not satisfied with job","f_manage_demands_recat",48.5714285714286,35,17,0.50709255283711,8.57142857142857,31.7714285714286,65.3714285714286,"balance",40.2905569007264
"job_satisfied","satisfied with job","f_manage_demands_recat",88.861985472155,413,367,0.314983869664023,1.54993429641672,85.8241142511782,91.8998566931317,"balance",40.2905569007264
"job_satisfied","not satisfied with job","f_work_life_balance_recat",45.7142857142857,35,16,0.505432670960188,8.54337144681602,28.9692776785263,62.4592937500451,"balance",42.4213075060533
"job_satisfied","satisfied with job","f_work_life_balance_recat",88.135593220339,413,364,0.323761421352558,1.59312580465217,85.0130666432207,91.2581197974572,"balance",42.4213075060533
"job_satisfied","not satisfied with job","s_able_complete_40hr_recat",48.5714285714286,35,17,0.50709255283711,8.57142857142857,31.7714285714286,65.3714285714286,"balance",36.6585956416465
"job_satisfied","satisfied with job","s_able_complete_40hr_recat",85.2300242130751,413,352,0.355232437135385,1.74798454950442,81.8039744960464,88.6560739301037,"balance",36.6585956416465
"job_satisfied","not satisfied with job","s_agency_mh_policy_support_recat",42.8571428571429,35,15,0.502096445253434,8.48697893980006,26.2226641351347,59.491621579151,"org & team",39.4673123486683
