"size","degree_recat","n","prop","se","ci_lower","ci_upper"
"Frontier","Bachelors or higher",8,29.6296296296296,0.087877187259517,12.4057009267643,46.853558332495
"Frontier","less than Bachelors",19,70.3703703703704,0.087877187259517,53.146441667505,87.5942990732357
"Large","Bachelors or higher",192,79.3388429752066,0.0260263081528006,74.2376865772577,84.4399993731555
"Large","less than Bachelors",50,20.6611570247934,0.0260263081528006,15.5600006268445,25.7623134227423
"Medium","Bachelors or higher",44,58.6666666666667,0.0568611043261137,47.5218902187484,69.8114431145849
"Medium","less than Bachelors",31,41.3333333333333,0.0568611043261137,30.1885568854151,52.4781097812516
"Small","Bachelors or higher",53,50.9615384615385,0.0490199669266258,41.3536249439198,60.5694519791571
"Small","less than Bachelors",51,49.0384615384615,0.0490199669266258,39.4305480208429,58.6463750560802
