"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"jd_size","Frontier","s_treated_fair_diability_recat",100,27,27,0,0,100,100,"treated fairly"
"jd_size","Frontier","s_treated_fair_gender_recat",100,27,27,0,0,100,100,"treated fairly"
"jd_size","Frontier","s_treated_fair_race_recat",100,27,27,0,0,100,100,"treated fairly"
"jd_size","Frontier","s_treated_fair_sex_orient_recat",100,27,27,0,0,100,100,"treated fairly"
"jd_size","Frontier","s_job_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"job"
"jd_size","Frontier","s_treated_fair_age_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"treated fairly"
"jd_size","Frontier","s_work_unit_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"org & team"
"jd_size","Frontier","f_treated_fairly_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"treated fairly"
"jd_size","Frontier","s_belonging_work_unit_recat",92.5925925925926,27,25,0.266880256341812,5.13611292801138,82.5258112536903,102.659373931495,"belonging"
"jd_size","Frontier","s_pay_recat",92.5925925925926,27,25,0.266880256341812,5.13611292801138,82.5258112536903,102.659373931495,"pay & benefits"
"jd_size","Frontier","s_belonging_agency_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100.969026495572,"belonging"
"jd_size","Frontier","s_benefits_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100.969026495572,"pay & benefits"
"jd_size","Frontier","f_manage_demands_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100.969026495572,"balance"
"jd_size","Frontier","s_org_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"jd_size","Frontier","s_supervisor_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"supervisor"
"jd_size","Frontier","f_paid_fairly_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"pay & benefits"
"jd_size","Frontier","f_psych_safe_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"treated fairly"
"jd_size","Frontier","f_voice_concerns_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"jd_size","Frontier","f_love_job_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"job"
"jd_size","Frontier","s_sup_interpersonal_skills_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"supervisor"
"jd_size","Frontier","f_happy_input_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"org & team"
"jd_size","Frontier","f_work_life_balance_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"balance"
"jd_size","Small","s_treated_fair_diability_recat",99.0384615384615,104,103,0.098058067569092,0.961538461538462,97.1538461538462,100.923076923077,"treated fairly"
"jd_size","Small","s_treated_fair_sex_orient_recat",99.0384615384615,104,103,0.098058067569092,0.961538461538462,97.1538461538462,100.923076923077,"treated fairly"
"jd_size","Small","s_job_recat",98.0769230769231,104,102,0.138000227294679,1.35320356126117,95.4246440968512,100.729202056995,"job"
"jd_size","Small","s_treated_fair_gender_recat",97.1153846153846,104,101,0.168184524716145,1.64918494886914,93.8829821156011,100.347787115168,"treated fairly"
"jd_size","Small","s_treated_fair_age_recat",96.1538461538462,104,100,0.193238969872078,1.89486399646979,92.4399127207654,99.867779586927,"treated fairly"
"jd_size","Small","s_supervisor_recat",95.1923076923077,104,99,0.214964783401984,2.1079031255807,91.0608175661695,99.3237978184459,"supervisor"
"jd_size","Small","s_work_unit_recat",95.1923076923077,104,99,0.214964783401984,2.1079031255807,91.0608175661695,99.3237978184459,"org & team"
"jd_size","Small","s_belonging_work_unit_recat",94.2307692307692,104,98,0.234289799674497,2.29740050072309,89.727864249352,98.7336742121865,"belonging"
"jd_size","Small","f_treated_fairly_recat",94.2307692307692,104,98,0.234289799674497,2.29740050072309,89.727864249352,98.7336742121865,"treated fairly"
"jd_size","Small","s_belonging_agency_recat",93.2692307692308,104,97,0.251767463868118,2.46878309836788,88.4304158964297,98.1080456420318,"belonging"
"jd_size","Small","s_org_recat",93.2692307692308,104,97,0.251767463868118,2.46878309836788,88.4304158964297,98.1080456420318,"org & team"
"jd_size","Small","s_treated_fair_race_recat",92.3076923076923,104,96,0.267759771056568,2.62560057225496,87.1615151860726,97.453869429312,"treated fairly"
"jd_size","Small","f_happy_input_recat",92.3076923076923,104,96,0.267759771056568,2.62560057225496,87.1615151860726,97.453869429312,"org & team"
"jd_size","Small","f_manage_demands_recat",92.3076923076923,104,96,0.267759771056568,2.62560057225496,87.1615151860726,97.453869429312,"balance"
"jd_size","Small","f_love_job_recat",91.3461538461538,104,95,0.282519074811882,2.77032745274609,85.9163120387715,96.7759956535362,"job"
"jd_size","Small","f_work_life_balance_recat",91.3461538461538,104,95,0.282519074811882,2.77032745274609,85.9163120387715,96.7759956535362,"balance"
"jd_size","Small","s_sup_interpersonal_skills_recat",90.3846153846154,104,94,0.296229731410389,2.90477150186139,84.6912632409671,96.0779675282637,"supervisor"
