topic,data_imp,data_skill
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Expert
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Moderately important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Moderately important,Beginner
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Somewhat important,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Expert
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,Very important,Proficient
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
app_use_sources,NA,NA
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,Somewhat important,NA
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Somewhat important,NA
collect_valid,Moderately important,Beginner
collect_valid,Somewhat important,NA
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,Very important,Beginner
collect_valid,Moderately important,Beginner
collect_valid,Moderately important,Proficient
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Somewhat important,NA
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Somewhat important,NA
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Very important,Expert
collect_valid,Not Important,NA
collect_valid,Very important,Expert
collect_valid,NA,NA
collect_valid,Somewhat important,NA
collect_valid,Moderately important,Unable to perform
collect_valid,Moderately important,Beginner
collect_valid,NA,NA
collect_valid,Somewhat important,NA
collect_valid,Very important,Beginner
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Somewhat important,NA
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Somewhat important,NA
collect_valid,Moderately important,Proficient
collect_valid,Very important,Proficient
collect_valid,Very important,Beginner
collect_valid,Very important,Proficient
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
