topic,comm_imp,comm_skill
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Beginner
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,Very important,Beginner
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Beginner
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Beginner
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Beginner
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Moderately important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Beginner
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,Somewhat important,NA
comm_understand,Moderately important,Beginner
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,Very important,Beginner
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Beginner
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Moderately important,Proficient
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Beginner
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Somewhat important,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,Very important,Expert
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,Very important,Proficient
comm_understand,NA,NA
comm_understand,NA,NA
comm_understand,NA,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Somewhat important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Not Important,NA
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Somewhat important,NA
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
