"","supervisor_status","imp_prop"
"1","Non-supervisor",92.0489296636086
"2","Non-supervisor",91.131498470948
"3","Non-supervisor",89.9082568807339
"4","Non-supervisor",87.4617737003058
"5","Non-supervisor",87.7675840978593
"6","Non-supervisor",83.7920489296636
"7","Non-supervisor",82.5688073394495
"8","Non-supervisor",82.262996941896
"9","Non-supervisor",85.3211009174312
"10","Non-supervisor",73.7003058103976
"11","Non-supervisor",80.7339449541284
"12","Non-supervisor",78.2874617737003
"13","Non-supervisor",77.6758409785933
"14","Non-supervisor",76.4525993883792
"15","Non-supervisor",71.2538226299694
"16","Non-supervisor",74.9235474006116
"17","Non-supervisor",65.4434250764526
"18","Non-supervisor",70.6422018348624
"19","Non-supervisor",70.0305810397553
"20","Non-supervisor",68.1957186544342
"21","Non-supervisor",63.914373088685
"22","Non-supervisor",66.0550458715596
"23","Non-supervisor",62.0795107033639
"24","Non-supervisor",58.1039755351682
"25","Non-supervisor",51.0703363914373
"26","Non-supervisor",55.045871559633
"27","Non-supervisor",68.1957186544342
"28","Non-supervisor",70.0305810397553
"29","Non-supervisor",62.0795107033639
"30","Non-supervisor",70.6422018348624
"31","Non-supervisor",58.1039755351682
"32","Non-supervisor",66.0550458715596
"33","Non-supervisor",55.045871559633
"34","Non-supervisor",63.914373088685
"35","Non-supervisor",74.9235474006116
"36","Non-supervisor",51.0703363914373
"37","Non-supervisor",65.4434250764526
"38","Non-supervisor",80.7339449541284
"39","Non-supervisor",76.4525993883792
"40","Non-supervisor",85.3211009174312
"41","Non-supervisor",77.6758409785933
"42","Non-supervisor",78.2874617737003
"43","Non-supervisor",87.7675840978593
"44","Non-supervisor",71.2538226299694
"45","Non-supervisor",87.4617737003058
"46","Non-supervisor",91.131498470948
"47","Non-supervisor",89.9082568807339
"48","Non-supervisor",82.5688073394495
"49","Non-supervisor",82.262996941896
"50","Non-supervisor",83.7920489296636
"51","Non-supervisor",92.0489296636086
"52","Non-supervisor",73.7003058103976
"53","Supervisor",93.8775510204082
"54","Supervisor",96.9387755102041
"55","Supervisor",96.9387755102041
"56","Supervisor",94.8979591836735
"57","Supervisor",92.8571428571429
"58","Supervisor",88.7755102040816
"59","Supervisor",86.734693877551
"60","Supervisor",83.6734693877551
"61","Supervisor",85.7142857142857
"62","Supervisor",79.5918367346939
"63","Supervisor",81.6326530612245
"64","Supervisor",75.5102040816327
"65","Supervisor",78.5714285714286
