"region","num_depts","num_missing_staff","region_staff","region_resps","pct_respon"
1,18,4,134,80,59.7014925373134
2,13,3,195,52,26.6666666666667
3,9,3,117,59,50.4273504273504
4,12,2,160,149,93.125
5,8,0,212,122,57.5471698113208
