"sup_status","gender","n","prop","se","ci_lower","ci_upper"
"Executive","Man",2,9.09090909090909,0.0612908965875675,0,21.1039248220723
"Executive","Woman",20,90.9090909090909,0.0612908965875675,78.8960751779277,100
"Non-supervisor","Man",25,7.88643533123028,0.0151381406757788,4.91935975877764,10.8535109036829
"Non-supervisor","Woman",292,92.1135646687697,0.0151381406757788,89.1464890963171,95.0806402412224
"Supervisor","Man",8,8.24742268041237,0.0279307369979622,2.77299822881177,13.721847132013
"Supervisor","Woman",89,91.7525773195876,0.0279307369979622,86.278152867987,97.2270017711882
